#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-B3AA733A4BDE41-1CD58AD9E4528FF7
#datatype	hitsFull Results
#status	0
#Start time	2020-12-09T13:44:56	Run time	0:00:09:22
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#7 - >274:Pelobacter carbinolicus DSM 2380 | Pcar_1140	non-specific	376990	25	253	2.25008e-78	237.396	pfam03102	NeuB	 - 	cl17225
Q#7 - >274:Pelobacter carbinolicus DSM 2380 | Pcar_1140	superfamily	388417	25	253	2.25008e-78	237.396	cl17225	DAHP_synth_1 superfamily	 - 	 - 
Q#7 - >274:Pelobacter carbinolicus DSM 2380 | Pcar_1140	non-specific	225000	1	264	1.65842e-70	221.052	COG2089	SpsE	 - 	cl30261
Q#7 - >274:Pelobacter carbinolicus DSM 2380 | Pcar_1140	superfamily	225000	1	264	1.65842e-70	221.052	cl30261	SpsE superfamily	 - 	 - 
Q#7 - >274:Pelobacter carbinolicus DSM 2380 | Pcar_1140	non-specific	274655	4	264	2.589e-66	209.746	TIGR03569	NeuB_NnaB	 - 	cl30262
Q#7 - >274:Pelobacter carbinolicus DSM 2380 | Pcar_1140	superfamily	274655	4	264	2.589e-66	209.746	cl30262	NeuB_NnaB superfamily	 - 	 - 
Q#7 - >274:Pelobacter carbinolicus DSM 2380 | Pcar_1140	non-specific	163337	3	267	8.43643e-56	182.505	TIGR03586	PseI	 - 	cl31462
Q#7 - >274:Pelobacter carbinolicus DSM 2380 | Pcar_1140	superfamily	163337	3	267	8.43643e-56	182.505	cl31462	PseI superfamily	 - 	 - 
Q#8 - >168:Geobacter metallireducens GS-15 | Gmet_0455	non-specific	376990	25	253	2.50533e-83	250.108	pfam03102	NeuB	 - 	cl17225
Q#8 - >168:Geobacter metallireducens GS-15 | Gmet_0455	superfamily	388417	25	253	2.50533e-83	250.108	cl17225	DAHP_synth_1 superfamily	 - 	 - 
Q#8 - >168:Geobacter metallireducens GS-15 | Gmet_0455	non-specific	225000	1	260	1.22222e-73	229.141	COG2089	SpsE	 - 	cl30261
Q#8 - >168:Geobacter metallireducens GS-15 | Gmet_0455	superfamily	225000	1	260	1.22222e-73	229.141	cl30261	SpsE superfamily	 - 	 - 
Q#8 - >168:Geobacter metallireducens GS-15 | Gmet_0455	non-specific	163337	3	267	1.47055e-63	202.535	TIGR03586	PseI	 - 	cl31462
Q#8 - >168:Geobacter metallireducens GS-15 | Gmet_0455	superfamily	163337	3	267	1.47055e-63	202.535	cl31462	PseI superfamily	 - 	 - 
Q#8 - >168:Geobacter metallireducens GS-15 | Gmet_0455	non-specific	274655	4	264	2.22943e-62	199.731	TIGR03569	NeuB_NnaB	 - 	cl30262
Q#8 - >168:Geobacter metallireducens GS-15 | Gmet_0455	superfamily	274655	4	264	2.22943e-62	199.731	cl30262	NeuB_NnaB superfamily	 - 	 - 
Q#8 - >168:Geobacter metallireducens GS-15 | Gmet_0455	non-specific	184028	95	157	0.00173027	38.912	PRK13398	PRK13398	NC	cl17225
Q#8 - >168:Geobacter metallireducens GS-15 | Gmet_0455	non-specific	225431	95	163	0.00208779	38.8841	COG2876	AroGA	NC	cl17225
Q#9 - >104:Desulfovibrio alaskensis G20 (Desulfovibrio desulfuricans G20) | Dde_0423	specific	376990	24	252	9.69399e-95	279.383	pfam03102	NeuB	 - 	cl17225
Q#9 - >104:Desulfovibrio alaskensis G20 (Desulfovibrio desulfuricans G20) | Dde_0423	superfamily	388417	24	252	9.69399e-95	279.383	cl17225	DAHP_synth_1 superfamily	 - 	 - 
Q#9 - >104:Desulfovibrio alaskensis G20 (Desulfovibrio desulfuricans G20) | Dde_0423	non-specific	225000	3	264	4.79253e-67	212.192	COG2089	SpsE	 - 	cl30261
Q#9 - >104:Desulfovibrio alaskensis G20 (Desulfovibrio desulfuricans G20) | Dde_0423	superfamily	225000	3	264	4.79253e-67	212.192	cl30261	SpsE superfamily	 - 	 - 
Q#9 - >104:Desulfovibrio alaskensis G20 (Desulfovibrio desulfuricans G20) | Dde_0423	non-specific	274655	3	264	2.42919e-66	209.746	TIGR03569	NeuB_NnaB	 - 	cl30262
Q#9 - >104:Desulfovibrio alaskensis G20 (Desulfovibrio desulfuricans G20) | Dde_0423	superfamily	274655	3	264	2.42919e-66	209.746	cl30262	NeuB_NnaB superfamily	 - 	 - 
Q#9 - >104:Desulfovibrio alaskensis G20 (Desulfovibrio desulfuricans G20) | Dde_0423	non-specific	163337	2	266	3.61909e-62	199.068	TIGR03586	PseI	 - 	cl31462
Q#9 - >104:Desulfovibrio alaskensis G20 (Desulfovibrio desulfuricans G20) | Dde_0423	superfamily	163337	2	266	3.61909e-62	199.068	cl31462	PseI superfamily	 - 	 - 
Q#10 - >408:Thauera sp. MZ1T | Tmz1t_2878	non-specific	225000	1	297	5.05577e-48	169.05	COG2089	SpsE	 - 	cl30261
Q#10 - >408:Thauera sp. MZ1T | Tmz1t_2878	superfamily	225000	1	297	5.05577e-48	169.05	cl30261	SpsE superfamily	 - 	 - 
Q#10 - >408:Thauera sp. MZ1T | Tmz1t_2878	non-specific	274655	66	304	3.22752e-43	155.818	TIGR03569	NeuB_NnaB	N	cl30262
Q#10 - >408:Thauera sp. MZ1T | Tmz1t_2878	superfamily	274655	66	304	3.22752e-43	155.818	cl30262	NeuB_NnaB superfamily	N	 - 
Q#10 - >408:Thauera sp. MZ1T | Tmz1t_2878	non-specific	376990	42	261	2.60645e-42	150.341	pfam03102	NeuB	 - 	cl17225
Q#10 - >408:Thauera sp. MZ1T | Tmz1t_2878	superfamily	388417	42	261	2.60645e-42	150.341	cl17225	DAHP_synth_1 superfamily	 - 	 - 
Q#10 - >408:Thauera sp. MZ1T | Tmz1t_2878	non-specific	163337	3	299	5.84325e-37	138.592	TIGR03586	PseI	 - 	cl31462
Q#10 - >408:Thauera sp. MZ1T | Tmz1t_2878	superfamily	163337	3	299	5.84325e-37	138.592	cl31462	PseI superfamily	 - 	 - 
Q#10 - >408:Thauera sp. MZ1T | Tmz1t_2878	non-specific	380442	359	480	3.20547e-18	81.4879	cd20308	cupin_YdaE	 - 	cl40423
Q#10 - >408:Thauera sp. MZ1T | Tmz1t_2878	superfamily	394793	359	480	3.20547e-18	81.4879	cl40423	cupin_RmlC-like superfamily	 - 	 - 
Q#10 - >408:Thauera sp. MZ1T | Tmz1t_2878	specific	212157	281	333	2.43583e-10	55.936	cd11611	SAF	 - 	cl00555
Q#10 - >408:Thauera sp. MZ1T | Tmz1t_2878	superfamily	382078	281	333	2.43583e-10	55.936	cl00555	SAF superfamily	 - 	 - 
Q#10 - >408:Thauera sp. MZ1T | Tmz1t_2878	non-specific	380443	377	472	1.2365e-09	57.5723	cd20309	cupin_EcSI	N	cl40423
Q#10 - >408:Thauera sp. MZ1T | Tmz1t_2878	specific	224829	401	454	1.78372e-09	55.6537	COG1917	QdoI	NC	cl21464
Q#10 - >408:Thauera sp. MZ1T | Tmz1t_2878	superfamily	389752	401	454	1.78372e-09	55.6537	cl21464	cupin_like superfamily	NC	 - 
Q#10 - >408:Thauera sp. MZ1T | Tmz1t_2878	specific	369571	401	459	1.88475e-09	53.8011	pfam07883	Cupin_2	 - 	cl21464
Q#10 - >408:Thauera sp. MZ1T | Tmz1t_2878	non-specific	226343	377	483	2.8175e-09	57.1945	COG3822	YdaE	N	cl21464
Q#10 - >408:Thauera sp. MZ1T | Tmz1t_2878	non-specific	380345	411	457	6.09842e-09	53.6939	cd02215	cupin_QDO_N_C	NC	cl40423
Q#10 - >408:Thauera sp. MZ1T | Tmz1t_2878	non-specific	223734	363	471	6.14717e-09	53.9294	COG0662	ManC	 - 	cl21464
Q#10 - >408:Thauera sp. MZ1T | Tmz1t_2878	non-specific	380343	400	469	2.78193e-07	49.0921	cd02213	cupin_PMI_typeII_C	N	cl40423
Q#10 - >408:Thauera sp. MZ1T | Tmz1t_2878	non-specific	377827	377	472	4.40987e-07	50.6113	pfam07385	Lyx_isomer	N	cl21464
Q#10 - >408:Thauera sp. MZ1T | Tmz1t_2878	non-specific	380384	411	461	2.58425e-06	45.5312	cd06979	cupin_RemF-like	N	cl40423
Q#10 - >408:Thauera sp. MZ1T | Tmz1t_2878	non-specific	380353	414	480	3.90462e-06	45.5553	cd02224	cupin_SPO2919-like	N	cl40423
Q#10 - >408:Thauera sp. MZ1T | Tmz1t_2878	non-specific	380429	410	454	1.18805e-05	43.7465	cd20295	cupin_Pac13-like	NC	cl40423
Q#10 - >408:Thauera sp. MZ1T | Tmz1t_2878	non-specific	380338	401	461	1.32015e-05	42.855	cd02208	cupin_RmlC-like	 - 	cl40423
Q#10 - >408:Thauera sp. MZ1T | Tmz1t_2878	non-specific	226357	367	470	7.5879e-05	43.1612	COG3837	COG3837	C	cl21464
Q#10 - >408:Thauera sp. MZ1T | Tmz1t_2878	non-specific	380402	400	469	0.000152456	40.6829	cd06998	cupin_D-LI-like	 - 	cl40423
Q#10 - >408:Thauera sp. MZ1T | Tmz1t_2878	non-specific	380396	401	454	0.000153155	40.7401	cd06991	cupin_TcmJ-like	NC	cl40423
Q#10 - >408:Thauera sp. MZ1T | Tmz1t_2878	non-specific	380355	409	454	0.000154632	40.5032	cd02226	cupin_YdbB-like	N	cl40423
Q#10 - >408:Thauera sp. MZ1T | Tmz1t_2878	non-specific	380393	406	457	0.000635532	38.371	cd06988	cupin_DddK	C	cl40423
Q#10 - >408:Thauera sp. MZ1T | Tmz1t_2878	non-specific	380377	397	454	0.00192436	37.536	cd06122	cupin_TTHA0104	N	cl40423
Q#10 - >408:Thauera sp. MZ1T | Tmz1t_2878	non-specific	380390	403	459	0.00240139	37.5094	cd06985	cupin_BF4112	C	cl40423
Q#10 - >408:Thauera sp. MZ1T | Tmz1t_2878	non-specific	380344	406	454	0.00299695	37.1116	cd02214	cupin_MJ1618	NC	cl40423
Q#10 - >408:Thauera sp. MZ1T | Tmz1t_2878	non-specific	380359	423	454	0.00302684	37.1488	cd02231	cupin_BLL6423-like	N	cl40423
Q#10 - >408:Thauera sp. MZ1T | Tmz1t_2878	non-specific	182158	386	469	0.00332017	38.6217	PRK09943	PRK09943	N	cl32436
Q#10 - >408:Thauera sp. MZ1T | Tmz1t_2878	superfamily	182158	386	469	0.00332017	38.6217	cl32436	PRK09943 superfamily	N	 - 
Q#10 - >408:Thauera sp. MZ1T | Tmz1t_2878	non-specific	380366	424	463	0.00370711	36.6782	cd02238	cupin_KdgF	N	cl40423
Q#10 - >408:Thauera sp. MZ1T | Tmz1t_2878	non-specific	380352	401	459	0.0051062	36.3696	cd02223	cupin_Bh2720-like	C	cl40423
Q#10 - >408:Thauera sp. MZ1T | Tmz1t_2878	non-specific	380433	419	451	0.00710605	35.7218	cd20299	cupin_YP766765-like	NC	cl40423
Q#11 - >294:Polynucleobacter necessarius subsp. necessarius STIR1 | Pnec_0333	non-specific	225000	10	340	2.50442e-42	150.56	COG2089	SpsE	 - 	cl30261
Q#11 - >294:Polynucleobacter necessarius subsp. necessarius STIR1 | Pnec_0333	superfamily	225000	10	340	2.50442e-42	150.56	cl30261	SpsE superfamily	 - 	 - 
Q#11 - >294:Polynucleobacter necessarius subsp. necessarius STIR1 | Pnec_0333	non-specific	376990	45	235	9.37518e-36	130.311	pfam03102	NeuB	 - 	cl17225
Q#11 - >294:Polynucleobacter necessarius subsp. necessarius STIR1 | Pnec_0333	superfamily	388417	45	235	9.37518e-36	130.311	cl17225	DAHP_synth_1 superfamily	 - 	 - 
Q#11 - >294:Polynucleobacter necessarius subsp. necessarius STIR1 | Pnec_0333	non-specific	163337	14	302	4.46773e-26	106.235	TIGR03586	PseI	 - 	cl31462
Q#11 - >294:Polynucleobacter necessarius subsp. necessarius STIR1 | Pnec_0333	superfamily	163337	14	302	4.46773e-26	106.235	cl31462	PseI superfamily	 - 	 - 
Q#11 - >294:Polynucleobacter necessarius subsp. necessarius STIR1 | Pnec_0333	non-specific	274655	14	303	1.92736e-25	104.586	TIGR03569	NeuB_NnaB	 - 	cl30262
Q#11 - >294:Polynucleobacter necessarius subsp. necessarius STIR1 | Pnec_0333	superfamily	274655	14	303	1.92736e-25	104.586	cl30262	NeuB_NnaB superfamily	 - 	 - 
Q#11 - >294:Polynucleobacter necessarius subsp. necessarius STIR1 | Pnec_0333	specific	214862	284	340	0.000329791	38.3162	smart00858	SAF	 - 	cl00555
Q#11 - >294:Polynucleobacter necessarius subsp. necessarius STIR1 | Pnec_0333	superfamily	382078	284	340	0.000329791	38.3162	cl00555	SAF superfamily	 - 	 - 
Q#11 - >294:Polynucleobacter necessarius subsp. necessarius STIR1 | Pnec_0333	non-specific	212160	285	340	0.00493493	34.6235	cd11615	SAF_NeuB_like	 - 	cl00555
Q#12 - >295:Pseudomonas putida F1 | Pput_1483	non-specific	376990	50	211	3.12316e-36	131.466	pfam03102	NeuB	C	cl17225
Q#12 - >295:Pseudomonas putida F1 | Pput_1483	superfamily	388417	50	211	3.12316e-36	131.466	cl17225	DAHP_synth_1 superfamily	C	 - 
Q#12 - >295:Pseudomonas putida F1 | Pput_1483	non-specific	225000	15	307	2.61836e-35	132.071	COG2089	SpsE	 - 	cl30261
Q#12 - >295:Pseudomonas putida F1 | Pput_1483	superfamily	225000	15	307	2.61836e-35	132.071	cl30261	SpsE superfamily	 - 	 - 
Q#12 - >295:Pseudomonas putida F1 | Pput_1483	non-specific	163337	19	210	1.37456e-29	115.865	TIGR03586	PseI	C	cl31462
Q#12 - >295:Pseudomonas putida F1 | Pput_1483	superfamily	163337	19	210	1.37456e-29	115.865	cl31462	PseI superfamily	C	 - 
Q#12 - >295:Pseudomonas putida F1 | Pput_1483	non-specific	274655	23	210	2.38754e-26	107.283	TIGR03569	NeuB_NnaB	C	cl30262
Q#12 - >295:Pseudomonas putida F1 | Pput_1483	superfamily	274655	23	210	2.38754e-26	107.283	cl30262	NeuB_NnaB superfamily	C	 - 
Q#13 - >324:Runella slithyformis DSM 19594 | Runsl_4699	non-specific	376990	262	505	2.48412e-43	153.808	pfam03102	NeuB	 - 	cl17225
Q#13 - >324:Runella slithyformis DSM 19594 | Runsl_4699	superfamily	388417	262	505	2.48412e-43	153.808	cl17225	DAHP_synth_1 superfamily	 - 	 - 
Q#13 - >324:Runella slithyformis DSM 19594 | Runsl_4699	non-specific	225000	242	512	1.35832e-38	144.012	COG2089	SpsE	 - 	cl30261
Q#13 - >324:Runella slithyformis DSM 19594 | Runsl_4699	superfamily	225000	242	512	1.35832e-38	144.012	cl30261	SpsE superfamily	 - 	 - 
Q#13 - >324:Runella slithyformis DSM 19594 | Runsl_4699	non-specific	163337	242	512	6.00796e-31	122.414	TIGR03586	PseI	 - 	cl31462
Q#13 - >324:Runella slithyformis DSM 19594 | Runsl_4699	superfamily	163337	242	512	6.00796e-31	122.414	cl31462	PseI superfamily	 - 	 - 
Q#13 - >324:Runella slithyformis DSM 19594 | Runsl_4699	non-specific	274655	242	507	8.28584e-31	121.92	TIGR03569	NeuB_NnaB	C	cl30262
Q#13 - >324:Runella slithyformis DSM 19594 | Runsl_4699	superfamily	274655	242	507	8.28584e-31	121.92	cl30262	NeuB_NnaB superfamily	C	 - 
Q#14 - >119:Desulfovibrio vulgaris DP4 | Dvul_0364	non-specific	225000	24	343	2.54115e-92	279.602	COG2089	SpsE	 - 	cl30261
Q#14 - >119:Desulfovibrio vulgaris DP4 | Dvul_0364	superfamily	225000	24	343	2.54115e-92	279.602	cl30261	SpsE superfamily	 - 	 - 
Q#14 - >119:Desulfovibrio vulgaris DP4 | Dvul_0364	specific	376990	42	271	4.40297e-91	272.449	pfam03102	NeuB	 - 	cl17225
Q#14 - >119:Desulfovibrio vulgaris DP4 | Dvul_0364	superfamily	388417	42	271	4.40297e-91	272.449	cl17225	DAHP_synth_1 superfamily	 - 	 - 
Q#14 - >119:Desulfovibrio vulgaris DP4 | Dvul_0364	non-specific	274655	24	333	4.61906e-84	257.896	TIGR03569	NeuB_NnaB	 - 	cl30262
Q#14 - >119:Desulfovibrio vulgaris DP4 | Dvul_0364	superfamily	274655	24	333	4.61906e-84	257.896	cl30262	NeuB_NnaB superfamily	 - 	 - 
Q#14 - >119:Desulfovibrio vulgaris DP4 | Dvul_0364	non-specific	163337	24	335	5.5944e-83	254.922	TIGR03586	PseI	 - 	cl31462
Q#14 - >119:Desulfovibrio vulgaris DP4 | Dvul_0364	superfamily	163337	24	335	5.5944e-83	254.922	cl31462	PseI superfamily	 - 	 - 
Q#14 - >119:Desulfovibrio vulgaris DP4 | Dvul_0364	specific	212160	286	343	7.11163e-08	48.4906	cd11615	SAF_NeuB_like	 - 	cl00555
Q#14 - >119:Desulfovibrio vulgaris DP4 | Dvul_0364	superfamily	382078	286	343	7.11163e-08	48.4906	cl00555	SAF superfamily	 - 	 - 
Q#14 - >119:Desulfovibrio vulgaris DP4 | Dvul_0364	non-specific	378023	286	343	8.94706e-06	42.5483	pfam08666	SAF	 - 	cl00555
Q#14 - >119:Desulfovibrio vulgaris DP4 | Dvul_0364	specific	214862	286	343	0.0033492	35.6198	smart00858	SAF	 - 	cl00555
Q#15 - >106:Desulfovibrio alaskensis G20 (Desulfovibrio desulfuricans G20) | Dde_3681	non-specific	274655	11	332	1.15899e-103	307.201	TIGR03569	NeuB_NnaB	 - 	cl30262
Q#15 - >106:Desulfovibrio alaskensis G20 (Desulfovibrio desulfuricans G20) | Dde_3681	superfamily	274655	11	332	1.15899e-103	307.201	cl30262	NeuB_NnaB superfamily	 - 	 - 
Q#15 - >106:Desulfovibrio alaskensis G20 (Desulfovibrio desulfuricans G20) | Dde_3681	specific	376990	31	263	2.78428e-84	254.73	pfam03102	NeuB	 - 	cl17225
Q#15 - >106:Desulfovibrio alaskensis G20 (Desulfovibrio desulfuricans G20) | Dde_3681	superfamily	388417	31	263	2.78428e-84	254.73	cl17225	DAHP_synth_1 superfamily	 - 	 - 
Q#15 - >106:Desulfovibrio alaskensis G20 (Desulfovibrio desulfuricans G20) | Dde_3681	non-specific	225000	5	338	2.90179e-82	253.409	COG2089	SpsE	 - 	cl30261
Q#15 - >106:Desulfovibrio alaskensis G20 (Desulfovibrio desulfuricans G20) | Dde_3681	superfamily	225000	5	338	2.90179e-82	253.409	cl30261	SpsE superfamily	 - 	 - 
Q#15 - >106:Desulfovibrio alaskensis G20 (Desulfovibrio desulfuricans G20) | Dde_3681	non-specific	163337	10	322	4.82968e-63	203.306	TIGR03586	PseI	 - 	cl31462
Q#15 - >106:Desulfovibrio alaskensis G20 (Desulfovibrio desulfuricans G20) | Dde_3681	superfamily	163337	10	322	4.82968e-63	203.306	cl31462	PseI superfamily	 - 	 - 
Q#15 - >106:Desulfovibrio alaskensis G20 (Desulfovibrio desulfuricans G20) | Dde_3681	specific	212160	280	337	1.22859e-17	75.4546	cd11615	SAF_NeuB_like	 - 	cl00555
Q#15 - >106:Desulfovibrio alaskensis G20 (Desulfovibrio desulfuricans G20) | Dde_3681	superfamily	382078	280	337	1.22859e-17	75.4546	cl00555	SAF superfamily	 - 	 - 
